
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","--","0.0","0.0","0.2","27.2","7.9","0.0","0.0","--","--","0.0","0.0"
"02","--","0.0","0.0","0.0","29.2","20.9","22.8","0.2","0.0","--","0.0","0.0"
"03","0.0","0.0","3.2","0.0","19.6","1.5","0.0","0.0","0.0","--","0.0","0.0"
"04","0.0","0.0","0.0","0.5","3.5","3.4","6.5","0.0","6.7","0.0","0.0","0.0"
"05","0.0","0.0","0.0","0.0","--","0.0","10.5","2.1","1.9","0.0","0.0","--"
"06","0.0","--","4.3","0.0","0.6","--","--","--","--","0.0","0.0","0.4"
"07","0.0","0.0","5.5","0.0","0.6","0.1","20.5","0.0","--","0.0","0.0","0.1"
"08","0.0","0.0","1.0","0.0","0.9","0.0","5.2","1.4","0.0","0.0","0.0","--"
"09","0.0","0.0","11.9","--","0.4","0.0","2.1","71.0","0.0","0.0","0.0","0.0"
"10","0.0","0.0","14.5","0.0","0.3","7.0","5.7","68.1","0.0","0.0","0.0","0.0"
"11","0.0","0.0","0.2","0.2","--","136.0","13.1","25.2","0.0","0.0","0.0","--"
"12","0.0","0.0","0.0","1.5","0.0","147.5","1.9","1.6","0.0","0.0","--","0.0"
"13","0.0","0.0","4.7","0.0","0.0","--","0.0","2.2","0.0","0.0","0.0","0.0"
"14","0.0","0.0","0.0","0.1","0.0","--","0.0","4.9","0.0","0.0","0.0","0.0"
"15","0.0","0.0","0.0","0.0","15.9","--","--","31.3","0.0","0.0","0.0","0.0"
"16","0.0","0.0","5.7","5.3","20.0","--","0.0","31.9","0.0","0.0","0.0","0.0"
"17","0.0","0.0","--","0.0","--","12.0","0.0","91.6","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","0.0","317.2","5.2","5.0","--","0.0","0.0","0.0","0.0"
"19","0.0","0.0","0.0","26.2","4.8","0.0","15.4","10.0","--","0.0","0.0","0.0"
"20","0.0","0.0","0.0","13.6","--","0.0","41.4","10.2","0.0","0.0","0.0","10.6"
"21","0.2","0.0","0.0","7.1","0.6","0.0","16.8","12.1","0.0","0.0","0.0","1.0"
"22","0.0","0.0","0.0","--","4.9","0.0","0.0","--","0.0","0.0","0.0","0.0"
"23","0.0","0.0","2.3","0.0","39.1","18.1","2.4","0.0","0.0","0.0","0.0","0.0"
"24","0.0","2.7","3.1","0.0","1.7","23.5","0.0","44.4","0.0","0.0","0.0","0.0"
"25","0.0","0.0","6.4","0.0","0.0","7.1","0.0","0.0","0.0","0.0","0.0","0.0"
"26","0.0","0.0","0.0","1.9","--","--","--","0.0","0.0","0.0","0.0","0.0"
"27","0.0","0.0","0.0","6.0","5.0","0.0","29.9","0.0","0.0","0.0","0.0","0.0"
"28","0.0","0.0","0.0","0.0","--","0.0","0.0","0.0","35.7","--","0.0","0.0"
"29","0.0","--","0.0","--","--","0.0","0.0","3.5","0.0","0.0","0.0","28.5"
"30","0.0","--","2.9","17.3","5.3","0.0","0.0","21.1","--","0.0","0.0","20.0"
"31","0.0","--","0.0","--","7.6","--","0.0","0.0","--","0.0","--","32.5"
"總和","0.2","2.7","65.7","79.9","504.4","390.2","199.2","432.8","44.3","0.0","0.0","93.1"
