
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","0.0","0.0","0.0","19.0","0.0","82.5","0.0","0.0","0.0","0.0"
"02","0.0","0.0","0.0","0.0","0.0","15.5","0.0","20.5","0.0","0.0","0.0","0.0"
"03","0.0","0.0","2.5","0.0","0.0","0.0","0.0","10.0","23.0","0.0","0.0","0.0"
"04","0.0","0.0","2.0","0.0","0.5","17.5","0.0","2.5","0.0","0.0","0.0","0.0"
"05","0.0","0.0","3.0","0.0","0.0","67.5","0.0","8.0","0.0","0.0","0.0","0.0"
"06","0.0","0.0","0.0","0.0","0.0","49.0","0.0","45.5","0.0","0.0","0.0","0.0"
"07","0.0","0.0","0.5","0.0","0.0","0.0","0.5","220.5","0.0","0.0","0.0","0.0"
"08","2.0","0.0","0.0","0.0","0.0","24.5","0.0","12.5","0.0","0.0","0.5","0.0"
"09","1.5","0.0","0.0","0.0","0.0","0.0","0.0","26.5","0.0","0.0","4.0","0.0"
"10","0.0","2.0","0.0","0.0","0.0","7.5","0.0","0.0","0.0","0.0","2.5","0.0"
"11","3.5","18.5","0.0","0.0","0.0","0.5","0.0","12.5","1.0","38.0","0.0","0.0"
"12","5.5","0.0","0.0","0.0","0.0","9.5","0.0","6.0","76.0","30.5","2.0","0.0"
"13","0.0","0.0","0.0","0.0","0.0","0.0","30.0","3.0","6.5","47.0","28.0","0.0"
"14","0.0","0.0","0.0","0.0","0.0","0.0","9.5","33.5","0.0","6.5","0.0","0.0"
"15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0"
"16","0.0","0.0","0.0","0.0","0.0","14.5","0.5","0.0","0.0","0.0","0.0","0.0"
"17","0.0","0.0","0.0","0.0","0.0","5.5","0.5","0.0","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","0.0","55.9","1.5","0.0","0.0","0.0","0.0","0.5","0.0"
"19","0.0","0.0","0.0","0.0","3.0","4.5","1.0","2.5","0.0","0.0","0.5","0.0"
"20","0.0","0.0","0.0","0.0","0.0","14.0","0.0","0.0","0.0","0.0","0.0","3.0"
"21","0.0","0.0","0.0","0.0","8.5","23.0","0.0","9.0","2.0","0.0","0.0","12.5"
"22","3.0","0.0","13.5","0.0","0.0","45.0","0.0","0.0","1.0","2.0","0.0","1.5"
"23","0.0","0.0","8.5","0.0","0.0","4.5","11.5","0.0","0.5","7.0","0.0","0.0"
"24","0.0","0.0","21.5","0.0","4.0","18.0","21.0","0.5","0.5","4.0","0.0","0.0"
"25","0.0","0.0","0.0","3.5","12.0","2.0","0.0","10.0","0.0","0.0","0.0","11.5"
"26","0.0","0.0","0.0","12.0","3.0","9.5","4.5","0.0","0.0","0.0","2.0","3.5"
"27","0.0","0.0","0.0","8.0","0.0","9.5","0.0","0.0","0.0","0.0","0.0","2.0"
"28","0.0","0.0","0.0","0.0","0.0","18.5","22.5","0.0","0.0","0.0","5.5","0.0"
"29","0.0","--","0.0","23.5","3.5","25.0","9.5","0.0","0.0","0.0","5.5","0.0"
"30","0.0","--","4.0","0.0","257.5","2.5","30.0","0.0","0.0","1.0","0.0","0.0"
"31","0.0","--","0.0","--","62.0","--","33.0","0.0","--","0.0","--","0.0"
"總和","15.5","20.5","55.5","47.0","409.9","408.0","174.0","507.5","110.5","136.0","51.0","34.0"
