
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","4.0","0.0","2.5","29.0","8.5","7.5","14.0","0.0","0.0","1.5","0.0"
"02","0.0","0.5","0.0","49.5","19.5","10.0","4.0","9.0","0.0","0.0","0.0","0.0"
"03","0.0","6.0","0.0","43.0","18.0","8.5","4.5","0.0","15.5","0.0","7.5","0.0"
"04","0.0","0.0","0.0","0.5","0.5","13.0","14.0","1.0","35.5","0.0","0.0","0.0"
"05","0.0","0.0","0.0","0.0","0.0","5.5","14.0","0.0","1.5","0.0","13.5","0.0"
"06","3.0","0.0","0.0","0.0","0.0","27.5","4.0","0.0","32.5","0.0","0.5","0.0"
"07","17.5","0.5","14.0","0.0","0.0","46.5","0.0","11.0","14.0","0.5","0.0","0.0"
"08","4.5","2.0","0.0","0.0","0.0","24.0","5.0","0.0","0.0","0.5","4.5","0.0"
"09","0.0","0.0","0.0","0.0","0.5","2.5","0.0","0.0","0.0","2.0","0.0","0.0"
"10","0.0","0.0","0.0","0.0","77.5","0.5","0.0","0.0","0.0","4.5","0.0","0.0"
"11","0.0","0.0","0.0","0.0","4.0","10.0","0.0","0.0","12.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","0.0","16.5","45.5","0.0","0.0","5.0","0.0","0.0","0.0"
"13","0.0","2.5","0.0","0.0","12.0","9.5","0.0","0.0","6.0","0.0","0.0","0.5"
"14","0.0","16.5","0.0","0.0","41.0","6.5","5.0","0.0","0.5","0.0","0.0","0.0"
"15","0.0","0.0","0.0","0.0","37.5","3.5","5.0","0.0","0.0","0.0","0.0","0.0"
"16","0.0","0.0","0.0","0.0","61.5","2.0","0.0","0.0","0.0","23.5","0.0","0.0"
"17","8.5","0.0","0.0","5.0","38.5","20.5","5.5","1.0","0.0","0.0","0.0","34.0"
"18","20.0","4.0","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0"
"19","1.0","9.5","0.0","8.5","3.0","2.5","0.0","0.0","0.0","0.0","0.0","0.0"
"20","0.0","38.5","0.0","0.0","0.0","23.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","3.5","15.5","4.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0"
"22","5.5","24.5","0.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"23","0.0","42.5","65.5","27.5","0.0","1.5","0.0","0.0","1.0","3.5","5.0","0.0"
"24","5.5","0.5","7.5","0.0","60.0","13.0","0.0","0.0","0.0","0.0","54.0","0.0"
"25","1.0","0.0","0.0","0.0","23.0","25.0","0.0","1.0","0.0","0.0","23.0","0.0"
"26","0.0","0.0","28.5","0.0","37.5","0.0","0.0","0.0","0.0","0.0","20.5","0.0"
"27","0.0","0.0","4.5","0.0","47.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0"
"28","1.5","0.0","42.0","0.0","70.5","0.0","0.0","14.0","0.0","0.0","0.0","0.0"
"29","26.5","--","1.0","0.0","0.0","0.5","0.0","0.5","0.0","0.0","0.0","0.0"
"30","0.5","--","0.0","0.0","0.0","0.0","41.5","0.5","0.0","0.0","0.0","0.0"
"31","0.0","--","0.0","--","26.5","--","0.0","0.0","--","13.0","--","0.0"
"總和","98.5","167.0","170.5","136.5","635.5","317.5","110.0","52.5","123.5","47.5","130.0","37.5"
