
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","0.0","3.0","0.0","10.5","8.0","0.0","0.0","0.5","0.0","0.0"
"02","0.0","0.0","0.0","7.0","0.0","1.5","2.5","0.0","3.0","0.0","0.0","0.0"
"03","0.0","0.0","0.0","1.0","0.0","0.0","0.0","38.5","2.5","0.0","0.0","0.0"
"04","0.0","0.0","0.0","0.0","0.0","0.0","4.5","0.0","0.0","0.0","0.0","0.0"
"05","0.0","0.0","0.0","8.5","0.0","--","0.0","0.0","0.0","0.0","0.0","0.0"
"06","0.0","0.0","0.0","16.0","1.5","--","0.0","5.0","0.0","0.0","0.0","0.0"
"07","0.0","0.0","0.0","13.0","0.0","--","23.0","0.0","0.0","0.0","0.0","0.0"
"08","0.0","0.0","0.0","0.0","0.0","22.0","26.0","0.0","0.0","0.0","0.0","0.0"
"09","0.0","0.0","0.0","0.0","0.0","1.0","1.5","0.0","0.0","0.5","5.5","25.5"
"10","0.0","0.0","4.0","0.0","51.5","0.0","19.0","2.5","0.0","0.0","2.5","7.5"
"11","0.0","0.0","0.0","11.5","6.5","0.0","0.0","0.5","0.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","11.5","11.5","0.0","0.0","0.0","29.0","0.0","0.0","3.0"
"13","1.0","89.0","0.5","0.0","0.0","0.0","0.0","31.0","1.5","0.0","0.0","0.0"
"14","0.0","0.0","24.0","0.0","0.0","1.0","0.0","1.0","0.5","14.0","0.0","0.0"
"15","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","18.0","0.0","0.0","0.0"
"16","0.0","2.0","0.0","0.0","20.0","0.0","4.5","0.0","0.0","0.0","0.0","0.0"
"17","0.0","4.0","0.0","0.0","0.5","0.0","0.5","0.0","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","0.0","8.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","0.0","0.0","0.5","0.0","30.0","0.0","12.5","0.0","0.0","0.0","0.0","0.0"
"20","0.0","0.0","0.0","0.0","11.5","0.0","0.5","--","2.0","0.0","0.0","0.0"
"21","0.0","0.0","0.0","0.0","54.5","0.0","0.0","0.5","0.0","0.0","0.0","7.5"
"22","0.0","0.0","0.0","0.0","--","0.0","0.0","23.0","0.0","3.0","0.0","0.0"
"23","0.0","0.0","0.0","22.0","44.0","0.5","14.0","14.0","0.0","2.0","0.0","2.5"
"24","0.0","0.0","0.0","20.5","79.0","0.5","0.0","0.0","0.5","0.5","0.0","23.0"
"25","0.0","0.0","0.0","1.0","18.0","0.5","2.0","0.0","3.0","0.0","0.0","0.0"
"26","13.0","0.0","0.0","1.0","22.5","11.0","0.0","3.5","0.0","0.0","0.0","0.0"
"27","0.0","0.0","2.0","0.0","47.5","0.0","3.5","19.5","0.5","0.0","0.0","0.5"
"28","2.0","0.0","4.5","0.0","67.0","0.0","4.5","0.5","13.0","0.0","0.0","0.0"
"29","0.0","0.0","0.0","0.0","19.5","26.0","0.0","0.5","2.0","0.0","0.0","0.0"
"30","0.0","--","0.0","0.0","20.0","0.0","1.0","0.0","5.5","0.0","0.0","0.0"
"31","0.0","--","0.0","--","25.5","--","0.0","0.0","--","0.0","--","0.0"
"總和","16.0","95.0","36.0","116.0","539.0","74.5","127.5","140.0","81.0","20.5","8.0","69.5"
