
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","15.4","8.2","18.0","20.1","20.0","21.5","22.8","23.3","21.9","21.6","18.8","16.1"
"02","12.8","10.4","16.7","17.8","21.2","23.0","22.1","22.9","22.3","21.9","18.7","15.9"
"03","13.3","13.1","16.9","18.4","21.0","22.4","22.7","20.1","21.4","21.9","19.8","16.8"
"04","14.2","12.6","17.8","17.8","22.2","22.4","23.3","22.2","22.6","21.6","18.8","17.0"
"05","14.3","14.9","15.0","16.1","22.0","--","23.5","23.5","22.5","21.8","19.3","17.5"
"06","14.4","14.6","16.8","15.0","22.8","--","23.5","23.0","21.4","22.5","21.6","17.8"
"07","15.1","16.0","18.4","16.3","22.1","--","22.6","23.1","21.0","21.1","23.1","18.8"
"08","13.9","15.3","18.7","17.2","22.4","19.3","22.1","23.4","22.4","20.8","21.0","19.4"
"09","13.8","14.5","18.5","17.6","23.4","19.4","21.1","23.6","22.5","20.7","18.2","16.8"
"10","14.3","14.0","17.1","17.5","22.9","21.7","21.7","23.4","22.4","20.7","18.2","19.2"
"11","13.7","13.9","16.3","15.1","20.3","22.7","22.2","21.9","22.5","22.0","19.2","19.4"
"12","13.5","16.4","17.0","14.0","19.9","23.5","22.9","22.6","22.5","22.0","19.5","18.2"
"13","12.8","15.1","19.1","12.1","21.4","23.4","23.4","21.9","22.2","21.5","19.5","16.7"
"14","11.9","16.9","16.0","12.8","22.3","23.0","23.6","21.8","23.5","22.2","20.2","15.4"
"15","12.0","18.2","13.7","15.1","22.5","22.9","23.8","22.2","22.7","21.1","20.3","16.3"
"16","12.7","16.4","13.7","15.8","20.0","23.5","21.2","21.9","23.2","20.1","19.9","17.1"
"17","13.7","12.2","16.0","17.3","21.0","23.7","21.9","22.2","22.9","19.7","19.6","16.2"
"18","14.0","11.8","15.8","18.9","19.3","23.3","23.6","23.1","23.1","20.7","19.6","16.2"
"19","13.7","11.8","16.2","19.9","18.0","23.3","21.8","23.3","23.4","21.5","20.5","16.5"
"20","12.9","12.9","18.3","20.6","18.8","22.7","21.3","--","23.5","21.6","21.0","15.9"
"21","13.0","13.8","19.1","21.2","19.0","21.6","22.9","22.7","23.2","21.7","20.0","13.9"
"22","15.5","14.3","18.9","19.9","--","22.7","23.0","21.1","23.2","22.4","19.6","16.1"
"23","16.4","15.7","19.7","17.6","20.1","22.4","23.2","21.6","23.4","20.0","18.9","15.4"
"24","16.9","16.8","19.5","16.1","20.9","22.6","23.7","22.6","22.4","20.8","19.0","16.7"
"25","16.1","17.5","19.8","17.0","20.7","23.2","22.3","22.9","21.0","21.4","18.4","15.5"
"26","15.1","17.2","20.2","18.3","19.6","21.8","22.0","21.1","21.9","21.4","17.3","14.7"
"27","14.5","17.0","18.7","18.8","19.6","22.7","22.7","21.8","21.1","20.8","17.7","15.1"
"28","11.5","16.4","16.0","19.0","19.9","23.5","21.6","22.5","19.5","21.5","16.9","18.0"
"29","11.1","16.7","17.9","18.7","20.1","22.3","22.6","23.0","21.2","21.3","16.7","16.8"
"30","9.6","--","17.4","19.4","20.1","23.1","22.2","23.2","20.2","21.4","16.8","13.5"
"31","6.9","--","19.0","--","22.3","--","26.3","22.3","--","20.1","--","9.8"
"平均","13.5","14.6","17.5","17.4","20.9","22.5","22.7","22.5","22.2","21.3","19.3","16.4"
